'Izegem',36008,
'Ledegem',36010,
'Lichtervelde',36011,
'Moorslede',36012,
'Roeselare',36015,
'Staden',36019,
'Dentergem',37002,
'Meulebeke',37007,
'Oostrozebeke',37010,
'Pittem',37011,
'Ruiselede',37012,
'Tielt',37015,
'Wielsbeke',37017,
'Wingene',37018,
'Ardooie',37020,
'Alveringem',38002,
'De Panne',38008,
'Koksijde',38014,
'Nieuwpoort',38016,
'Veurne',38025,
'Aalst',41002,
'Denderleeuw',41011,
'Geraardsbergen',41018,
'Kruishoutem',45017,
'Wortegem-Petegem',45061,
'Lokeren',46014,
'Gingelom',71017,
'Lummen',71037,
'Zonhoven',71066,
'Bree',72004,
'Overpelt',72029,
'Meeuwen-Gruitrode',72040,
'Hoeselt',73032,
'Wellen',73098,
'Mechelen',12025,
'Nijlen',12026,
'Putte',12029,
'Puurs',12030,
'Sint-Amands',12034,
'Sint-Katelijne-Waver',12035,
'Willebroek',12040,
'Arendonk',13001,
'Baarle-Hertog',13002,
'Balen',13003,
'Beerse',13004,
'Dessel',13006,
'Geel',13008,
'Grobbendonk',13010,
'Herentals',13011,
'Herenthout',13012,
'Herselt',13013,
'Hoogstraten',13014,
'Hulshout',13016,
'Kasterlee',13017,
'Lille',13019,
'Meerhout',13021,
'Merksplas',13023,
'Mol',13025,
'Olen',13029,
'Oud-Turnhout',13031,
'Ravels',13035,
'Retie',13036,
'Rijkevorsel',13037,
'Turnhout',13040,
'Vorselaar',13044,
'Antwerpen',11002,
