"eenheid","label"
"http://data.lblod.info/id/bestuurseenheden/c275e4917dc07249a9f833945018c3d03408dd455736ba9faf2e1b4410b16c3f","Gingelom"
"http://data.lblod.info/id/bestuurseenheden/bbc23313f4c8585a0c51f15f920d77123356535cd1cad9af38f5707892c7088d","Zwijndrecht"
"http://data.lblod.info/id/bestuurseenheden/bad14fadb66ed3809c655c9d07d8280a9fd5004c47e3131e0e67bd81f0b8182d","Merksplas"
"http://data.lblod.info/id/bestuurseenheden/cbe8c66f4282f791c6543bef7a102f8abd9199452aa87ffd141d1c6524d01700","Hooglede"
"http://data.lblod.info/id/bestuurseenheden/92f38467d9467707d91ba9cb3c5c165cd58447078d985b25a651b3f01e8695cd","Lennik"
"http://data.lblod.info/id/bestuurseenheden/65e28345eaf58a1900fbff273bdf390937ad5e5d8682668c256a2ebfec39ac37","Zaventem"
"http://data.lblod.info/id/bestuurseenheden/1b302e59584e383bbf169280c7f21070c65332a58ed4e80c89fbd876edc4cdbb","Pepingen"
"http://data.lblod.info/id/bestuurseenheden/c78f64baa2f264a2c8b5207f788c285ffc1c0393cf20e6fc83ab61548a2baf9c","Nevele"
"http://data.lblod.info/id/bestuurseenheden/cb6ea2dd7a009bca2aa4c1058cce5545420792b9db0a6b5516e49a4ae4b03701","Zingem"
"http://data.lblod.info/id/bestuurseenheden/1d6bd844667629bd4b3a630789770e57947c7496845fc706c31bc2d9314b71ee","Diksmuide"
"http://data.lblod.info/id/bestuurseenheden/c5605cec98e351189ed24796350db8866e918540f4abfb6a038e339c72afb875","Zulte"
"http://data.lblod.info/id/bestuurseenheden/0a6f2c605c7513077bd8f06162a9b4dc4c7aedb113f15a3e9e8792719e9b107a","Vorselaar"
"http://data.lblod.info/id/bestuurseenheden/d6a04c16b842c671407bccdad2d3b536b7d356096ae24e7c6c6e22cee4296db4","Affligem"
"http://data.lblod.info/id/bestuurseenheden/ec07b3c9e3fa08383f7be47a633ba4330c29771769b8e4aa9608c9c1fe130d71","Staden"
"http://data.lblod.info/id/bestuurseenheden/afb26133e0a188cfa468db610b18531b22a631abf4c24187d4a7ea2f127fc581","Hechtel-Eksel"
"http://data.lblod.info/id/bestuurseenheden/6773d718ab6fff1e3738106296c9c8972f8dbe311fa4a5c78547512eb9d2789e","Kortrijk"
"http://data.lblod.info/id/bestuurseenheden/44e59e452ba64d4e0d10167d6978af59dd3680a5a4ce7736ccc5973bbb476e66","Temse"
"http://data.lblod.info/id/bestuurseenheden/ba8a253d98ea7d2ab1afc43e5e2cd145a12ccd86b68e71d023e3c13a83d7498f","Galmaarden"
"http://data.lblod.info/id/bestuurseenheden/d9ee3dc7b107144c145264b6aa43b263ef51db6ffb523b222e1bc01aaea4d6ad","Herk-de-Stad"
"http://data.lblod.info/id/bestuurseenheden/8cd07007fee51d55760f7d3d14944b548d98061a9eca4eafe825c89a1145aaf3","Westerlo"
"http://data.lblod.info/id/bestuurseenheden/461fdead3ed31710eb58da8b8acc22a08f82409c4edc3adf220ef2f98aa57c30","Alken"
"http://data.lblod.info/id/bestuurseenheden/8741ed200d8fa26adfa6f6738f1544b161c846d6a90863c028164dfebf540cbe","Vleteren"
"http://data.lblod.info/id/bestuurseenheden/6c0cee908003c04080f2f07d86c669c42f3ea69eeb6a018a78261d61b88e102a","Schilde"
"http://data.lblod.info/id/bestuurseenheden/f56f068943a99059f5bfc3b905fe8848a25a47cfa30fb3ed3d294b47815b2255","Merelbeke"
"http://data.lblod.info/id/bestuurseenheden/034acaef43bcf9245ed7256b516a7ac127b9d505509bad7387b95794b8c15a0e","Oostende"
"http://data.lblod.info/id/bestuurseenheden/7e7bcc5a4794e967fc42316fa2dedaba81604a755223031ea3c99afd9308b98f","Roeselare"
